time,attention
0.0,0.0073967255
10.0,0.006038945
20.0,0.004828167
30.0,0.0046612327
40.0,0.00465573
50.0,0.0046567977
60.0,0.0046536224
70.0,0.004653157
80.0,0.0046234303
90.0,0.004778854
100.0,0.005289919
110.0,0.005673108
120.0,0.006411931
130.0,0.006965976
140.0,0.007109561
150.0,0.007198866
160.0,0.0072834576
170.0,0.0073657115
180.0,0.0074453824
190.0,0.0075221327
200.0,0.0075955335
210.0,0.007665552
220.0,0.007732356
230.0,0.0077958126
240.0,0.007856242
250.0,0.0079141
260.0,0.007969756
270.0,0.008023838
280.0,0.008077502
290.0,0.008132091
300.0,0.008187485
310.0,0.008242652
320.0,0.008297462
330.0,0.008351324
340.0,0.008403488
350.0,0.008453897
360.0,0.008502436
370.0,0.008548905
380.0,0.008593038
390.0,0.008634827
400.0,0.008674639
410.0,0.008712698
420.0,0.008749291
430.0,0.008784659
440.0,0.008818887
450.0,0.00885201
460.0,0.008883932
470.0,0.008914528
480.0,0.008943586
490.0,0.008971085
500.0,0.0089972615
510.0,0.009022328
520.0,0.009046387
530.0,0.009069477
540.0,0.009091378
550.0,0.009112129
560.0,0.009132253
570.0,0.00915273
580.0,0.009174187
590.0,0.009195488
600.0,0.009216285
610.0,0.009236327
620.0,0.00925526
630.0,0.009273377
640.0,0.009290865
650.0,0.0093077365
660.0,0.009324015
670.0,0.009339707
680.0,0.009354734
690.0,0.009368984
700.0,0.00938226
710.0,0.009394819
720.0,0.0094067715
730.0,0.009418266
740.0,0.009429404
750.0,0.009440174
760.0,0.009450583
770.0,0.009460639
780.0,0.009470357
790.0,0.009479746
800.0,0.009488803
810.0,0.009497472
820.0,0.009505571
830.0,0.0095134135
840.0,0.009521628
850.0,0.009529558
860.0,0.009537478
870.0,0.009545037
880.0,0.009552005
890.0,0.009558657
900.0,0.009480346
910.0,0.009350633
920.0,0.008774627
920.0,0.008100276
920.0,0.0071461354
920.0,0.006572593
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554447
920.0,0.0064554443
920.0,0.0064168014
