time,attention
0.0,7.950547e-05
10.0,0.00011413259
20.0,0.00022692308
30.0,0.00038996566
40.0,0.00045629404
50.0,0.0004508985
60.0,0.0005256638
70.0,0.000605267
80.0,0.0006297969
90.0,0.0007947973
100.0,0.00093208253
110.0,0.00097163976
120.0,0.0011735882
130.0,0.0010402496
140.0,0.0012576836
150.0,0.0014811022
160.0,0.0016818572
170.0,0.0019454482
180.0,0.002003517
190.0,0.0022310996
200.0,0.0026160683
210.0,0.00317727
220.0,0.0034000664
230.0,0.004189036
240.0,0.004681346
250.0,0.004816906
260.0,0.005576905
270.0,0.0060563725
280.0,0.006195638
290.0,0.0069813067
300.0,0.008007622
310.0,0.0077872416
320.0,0.007452639
330.0,0.00809281
340.0,0.0076882024
350.0,0.008992037
360.0,0.008989578
370.0,0.012113166
380.0,0.01194444
390.0,0.01255984
400.0,0.018592546
410.0,0.01916165
420.0,0.018928034
430.0,0.021828854
440.0,0.02271904
450.0,0.02317595
460.0,0.029798863
470.0,0.031205034
480.0,0.032838136
490.0,0.033497773
500.0,0.037273813
510.0,0.03822486
520.0,0.036248803
530.0,0.04068142
540.0,0.043051448
550.0,0.044995647
560.0,0.046548694
570.0,0.048070345
580.0,0.04917394
590.0,0.050058406
600.0,0.05172304
610.0,0.050582636
620.0,0.051311083
